iteration,yes x Mr. Hi,,,,yes x Officer,,,,no x Mr. Hi,,,,no x Officer,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
0,5,4,                      13,12,13,12,                      5,4,12,13,                      4,5,4,5,                      12,13
1,10,10,                       7,7,7,7,                       10,10,7,7,                       10,10,10,10,                       7,7
2,9,10,                       7,8,7,8,                       9,10,8,7,                       10,9,10,9,                       8,7
3,10,10,                       7,7,7,7,                       10,10,7,7,                       10,10,10,10,                       7,7
4,11,10,                       7,6,7,6,                       11,10,6,7,                       10,11,10,11,                       6,7
5,12,10,                       7,5,7,5,                       12,10,5,7,                       10,12,10,12,                       5,7
6,11,10,                       7,6,7,6,                       11,10,6,7,                       10,11,10,11,                       6,7
7,11,11,                       6,6,6,6,                       11,11,6,6,                       11,11,11,11,                       6,6
8,11,10,                       7,6,7,6,                       11,10,6,7,                       10,11,10,11,                       6,7
9,11,9,                       8,6,8,6,                       11,9,6,8,                       9,11,9,11,                       6,8
10,11,10,                       7,6,7,6,                       11,10,6,7,                       10,11,10,11,                       6,7
11,11,11,                       6,6,6,6,                       11,11,6,6,                       11,11,11,11,                       6,6
12,12,11,                       6,5,6,5,                       12,11,5,6,                       11,12,11,12,                       5,6
13,12,12,                       5,5,5,5,                       12,12,5,5,                       12,12,12,12,                       5,5
14,12,13,                       4,5,4,5,                       12,13,5,4,                       13,12,13,12,                       5,4
15,12,12,                       5,5,5,5,                       12,12,5,5,                       12,12,12,12,                       5,5
16,12,13,                       4,5,4,5,                       12,13,5,4,                       13,12,13,12,                       5,4
